epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,200.885,0.78315,1.12095,1.17371,0.64261,0.7,0.85235,0.58344,1.65354,1.44864,1.37595,2.75718e-05,2.75718e-05,2.75718e-05
38,205.847,0.45923,0.70838,0.96956,0.64261,0.7,0.85235,0.58344,1.65354,1.44864,1.37595,2.79018e-05,2.79018e-05,2.79018e-05
39,210.889,0.63582,0.9415,1.01574,0.67696,0.69078,0.85226,0.56169,1.62357,1.47619,1.36612,2.82082e-05,2.82082e-05,2.82082e-05
40,221.247,0.79593,0.83709,1.16365,0.67696,0.69078,0.85226,0.56169,1.62357,1.47619,1.36612,2.84911e-05,2.84911e-05,2.84911e-05
41,227.035,0.76261,0.92772,1.06553,0.68067,0.66897,0.76907,0.48784,1.59367,1.48757,1.35804,2.87504e-05,2.87504e-05,2.87504e-05
42,232.078,0.88382,1.8893,1.28001,0.68067,0.66897,0.76907,0.48784,1.59367,1.48757,1.35804,2.89861e-05,2.89861e-05,2.89861e-05
43,237.335,0.84624,1.22227,1.22741,0.65801,0.65,0.76243,0.47284,1.60543,1.53307,1.36962,2.91983e-05,2.91983e-05,2.91983e-05
44,242.33,1.07346,0.9859,1.44877,0.65801,0.65,0.76243,0.47284,1.60543,1.53307,1.36962,2.93869e-05,2.93869e-05,2.93869e-05
45,247.437,0.61346,0.92012,0.99465,0.68361,0.65,0.73496,0.44744,1.612,1.54565,1.38383,2.9552e-05,2.9552e-05,2.9552e-05
46,252.334,0.82329,1.00495,1.26607,0.68361,0.65,0.73496,0.44744,1.612,1.54565,1.38383,2.96935e-05,2.96935e-05,2.96935e-05
47,257.308,0.8778,1.47069,1.3556,0.73246,0.65,0.73238,0.43911,1.62516,1.59937,1.39016,2.98114e-05,2.98114e-05,2.98114e-05
48,262.421,0.78713,1.62783,1.1731,0.73246,0.65,0.73238,0.43911,1.62516,1.59937,1.39016,2.99058e-05,2.99058e-05,2.99058e-05
49,269.917,0.67003,0.71643,1.24323,0.69148,0.65,0.70753,0.41453,1.62655,1.62132,1.39106,2.99766e-05,2.99766e-05,2.99766e-05
50,280.953,0.79521,0.80917,1.29347,0.69148,0.65,0.70753,0.41453,1.62655,1.62132,1.39106,3.00238e-05,3.00238e-05,3.00238e-05
51,287.086,0.85478,0.83103,1.15356,0.6577,0.67126,0.69868,0.40616,1.61107,1.63391,1.39113,3.00475e-05,3.00475e-05,3.00475e-05
52,293.092,0.98556,0.98872,1.35145,0.6577,0.67126,0.69868,0.40616,1.61107,1.63391,1.39113,3.00476e-05,3.00476e-05,3.00476e-05
53,298.555,0.64616,0.69595,1.17573,0.6577,0.67126,0.69868,0.40616,1.61107,1.63391,1.39113,3.00242e-05,3.00242e-05,3.00242e-05
54,304.422,0.78858,0.91792,1.23294,0.67565,0.67101,0.69624,0.40847,1.61067,1.68615,1.40048,2.99772e-05,2.99772e-05,2.99772e-05
55,312.063,0.80843,0.94687,1.12627,0.67565,0.67101,0.69624,0.40847,1.61067,1.68615,1.40048,2.99066e-05,2.99066e-05,2.99066e-05
56,316.942,1.1282,1.4665,1.59947,0.67565,0.67101,0.69624,0.40847,1.61067,1.68615,1.40048,2.98125e-05,2.98125e-05,2.98125e-05
57,327.925,0.93521,1.4868,1.36999,0.73115,0.5,0.69609,0.40874,1.62137,1.71185,1.40773,2.96948e-05,2.96948e-05,2.96948e-05
58,339.063,0.86873,1.46681,1.27025,0.73115,0.5,0.69609,0.40874,1.62137,1.71185,1.40773,2.95535e-05,2.95535e-05,2.95535e-05
59,347.809,0.78674,0.82325,1.1561,0.73115,0.5,0.69609,0.40874,1.62137,1.71185,1.40773,2.93887e-05,2.93887e-05,2.93887e-05
60,354.101,0.99232,0.78208,1.54138,0.73503,0.5,0.67963,0.39018,1.6528,1.79337,1.42605,2.92003e-05,2.92003e-05,2.92003e-05
61,359.405,0.63315,0.68516,1.06273,0.73503,0.5,0.67963,0.39018,1.6528,1.79337,1.42605,2.89884e-05,2.89884e-05,2.89884e-05
62,364.976,0.70581,0.89717,1.0482,0.73503,0.5,0.67963,0.39018,1.6528,1.79337,1.42605,2.87529e-05,2.87529e-05,2.87529e-05
63,370.597,0.76252,0.82397,1.14792,0.84115,0.48764,0.68057,0.37483,1.65162,1.85868,1.42847,2.84938e-05,2.84938e-05,2.84938e-05
64,376.439,0.62875,0.65363,1.06709,0.84115,0.48764,0.68057,0.37483,1.65162,1.85868,1.42847,2.82112e-05,2.82112e-05,2.82112e-05
65,382.004,0.66956,0.69976,1.22238,0.84115,0.48764,0.68057,0.37483,1.65162,1.85868,1.42847,2.7905e-05,2.7905e-05,2.7905e-05
66,387.47,0.68614,0.91739,1.08153,0.85161,0.47342,0.67904,0.38865,1.67039,1.86893,1.43589,2.75753e-05,2.75753e-05,2.75753e-05
67,393.248,0.74027,1.12606,1.10823,0.85161,0.47342,0.67904,0.38865,1.67039,1.86893,1.43589,2.7222e-05,2.7222e-05,2.7222e-05
68,398.593,1.05842,1.81927,1.42061,0.85161,0.47342,0.67904,0.38865,1.67039,1.86893,1.43589,2.68451e-05,2.68451e-05,2.68451e-05
69,404.388,0.62892,1.08378,1.11962,0.8468,0.47135,0.56994,0.29659,1.66528,1.90858,1.42521,2.64447e-05,2.64447e-05,2.64447e-05
70,409.635,0.9856,0.88501,1.43062,0.8468,0.47135,0.56994,0.29659,1.66528,1.90858,1.42521,2.60207e-05,2.60207e-05,2.60207e-05
71,414.771,0.95066,1.31668,1.31549,0.8468,0.47135,0.56994,0.29659,1.66528,1.90858,1.42521,2.55731e-05,2.55731e-05,2.55731e-05
72,419.816,0.59612,0.64272,1.07836,0.84798,0.46491,0.53888,0.27123,1.6902,1.93716,1.43318,2.5102e-05,2.5102e-05,2.5102e-05
73,425.149,0.68698,0.90325,1.04613,0.84798,0.46491,0.53888,0.27123,1.6902,1.93716,1.43318,2.46073e-05,2.46073e-05,2.46073e-05
74,430.615,0.72771,0.59132,1.20664,0.84798,0.46491,0.53888,0.27123,1.6902,1.93716,1.43318,2.40891e-05,2.40891e-05,2.40891e-05
75,440.737,0.7263,0.55228,1.13614,0.84288,0.47167,0.53692,0.28822,1.70493,1.92397,1.43522,2.35472e-05,2.35472e-05,2.35472e-05
76,446.93,0.63489,0.72979,1.12737,0.84288,0.47167,0.53692,0.28822,1.70493,1.92397,1.43522,2.29819e-05,2.29819e-05,2.29819e-05
77,450.889,0.67733,0.65459,1.11185,0.84288,0.47167,0.53692,0.28822,1.70493,1.92397,1.43522,2.23929e-05,2.23929e-05,2.23929e-05
78,454.971,0.87483,1.00056,1.187,0.83947,0.46083,0.5438,0.27831,1.68596,1.94979,1.43269,2.17805e-05,2.17805e-05,2.17805e-05
79,462.406,0.60923,0.81683,1.10574,0.83947,0.46083,0.5438,0.27831,1.68596,1.94979,1.43269,2.11444e-05,2.11444e-05,2.11444e-05
80,466.824,0.68551,0.73512,1.15004,0.83947,0.46083,0.5438,0.27831,1.68596,1.94979,1.43269,2.04848e-05,2.04848e-05,2.04848e-05
81,470.911,0.51724,0.50395,0.97357,0.84141,0.45113,0.53393,0.25913,1.73749,1.99866,1.45752,1.98016e-05,1.98016e-05,1.98016e-05
82,474.911,0.81187,0.68212,1.14394,0.84141,0.45113,0.53393,0.25913,1.73749,1.99866,1.45752,1.90949e-05,1.90949e-05,1.90949e-05
83,478.818,0.78469,0.81818,1.2117,0.84141,0.45113,0.53393,0.25913,1.73749,1.99866,1.45752,1.83646e-05,1.83646e-05,1.83646e-05
84,482.985,0.78021,0.57479,1.19764,0.84534,0.47827,0.53675,0.2684,1.79743,2.02524,1.48402,1.76107e-05,1.76107e-05,1.76107e-05
85,487.001,0.58728,0.73274,1.12103,0.84534,0.47827,0.53675,0.2684,1.79743,2.02524,1.48402,1.68333e-05,1.68333e-05,1.68333e-05
86,491.376,0.7425,0.65827,1.09992,0.84534,0.47827,0.53675,0.2684,1.79743,2.02524,1.48402,1.60323e-05,1.60323e-05,1.60323e-05
87,495.188,0.75587,0.78062,1.05565,0.84534,0.47827,0.53675,0.2684,1.79743,2.02524,1.48402,1.52077e-05,1.52077e-05,1.52077e-05
88,499.12,0.80347,0.89537,1.38756,0.84498,0.47618,0.52405,0.27854,1.80113,2.04138,1.49104,1.43596e-05,1.43596e-05,1.43596e-05
89,503.424,0.96731,0.99314,1.46511,0.84498,0.47618,0.52405,0.27854,1.80113,2.04138,1.49104,1.34879e-05,1.34879e-05,1.34879e-05
90,507.493,0.69711,0.61823,1.0439,0.84498,0.47618,0.52405,0.27854,1.80113,2.04138,1.49104,1.25927e-05,1.25927e-05,1.25927e-05
91,511.665,0.47142,0.53172,0.89252,0.84498,0.47618,0.52405,0.27854,1.80113,2.04138,1.49104,1.16739e-05,1.16739e-05,1.16739e-05
92,515.8,0.70871,0.70101,0.99466,0.83584,0.48592,0.53401,0.28759,1.79002,1.9741,1.46871,1.07315e-05,1.07315e-05,1.07315e-05
93,520.023,0.47247,0.45851,0.97957,0.83584,0.48592,0.53401,0.28759,1.79002,1.9741,1.46871,9.76562e-06,9.76562e-06,9.76562e-06
94,524.432,0.54153,0.44412,0.88305,0.83584,0.48592,0.53401,0.28759,1.79002,1.9741,1.46871,8.77613e-06,8.77613e-06,8.77613e-06
95,528.564,0.45026,0.45474,0.9025,0.83584,0.48592,0.53401,0.28759,1.79002,1.9741,1.46871,7.76308e-06,7.76308e-06,7.76308e-06
96,532.513,0.43653,0.50831,0.96037,0.8411,0.4707,0.55827,0.30695,1.77694,1.90546,1.45591,6.72648e-06,6.72648e-06,6.72648e-06
97,537.124,0.68672,0.62005,1.03908,0.8411,0.4707,0.55827,0.30695,1.77694,1.90546,1.45591,5.6663e-06,5.6663e-06,5.6663e-06
98,540.913,0.52389,0.49176,0.91182,0.8411,0.4707,0.55827,0.30695,1.77694,1.90546,1.45591,4.58257e-06,4.58257e-06,4.58257e-06
99,545.459,0.47699,0.47086,0.9115,0.8411,0.4707,0.55827,0.30695,1.77694,1.90546,1.45591,3.47528e-06,3.47528e-06,3.47528e-06
100,549.386,0.56252,0.50757,0.99655,0.82647,0.46667,0.60969,0.35198,1.70567,1.83853,1.4172,2.34442e-06,2.34442e-06,2.34442e-06
